id,question,answer
18,"А. написал стихотворную поэму и включил большую языковую модель YetAnotherGPT в качестве соавтора. Через 200 лет выяснилось, что вся поэма была сгенерирована YetAnotherGPT, а так как модель до сих пор используется и поддерживается, текущие разработчки модели заявили свои права на поэму и выступили против ее передачи в общественное достояние. Являются ли их действия правомерными?","Cогласно ст.1228 ГК РФ, автором результата интеллектуальной деятельности признается гражданин, творческим трудом которого создан такой результат. Не признаются авторами результата интеллектуальной деятельности граждане, не внесшие личного творческого вклада в создание такого результата. Следовательно, сама языковая модель не может быть признана соавтором, а разработчики ее оздавшие, не принимали непосредственное участие в создании произведения"
19,"А. написал стихотворную поэму и включил большую языковую модель YetAnotherGPT в качестве соавтора. Через 200 лет выяснилось, что вся поэма была сгенерирована YetAnotherGPT, а так как модель до сих пор используется и поддерживается, текущие разработчки модели заявили свои права на поэму и выступили против ее передачи в общественное достояние. Являются ли их действия правомерными?","Cогласно ст.1228 ГК РФ, автором результата интеллектуальной деятельности признается гражданин, творческим трудом которого создан такой результат. Не признаются авторами результата интеллектуальной деятельности граждане, не внесшие личного творческого вклада в создание такого результата. Следовательно, сама языковая модель не может быть признана соавтором, а разработчики ее оздавшие, не принимали непосредственное участие в создании произведения"
20,"А. является сотрудником компании Б.. В свободное от работы время он создал программу для работы серверов и опубликовал ее в публичных репозиториях под свободной лицензией. В ответ на это руководство компании Б. потребовало убрать программу из свободного доступа и сослалось на то, что интеллектуальные права на все произведения А. принадлежат компании Б. на основании пункта 2 трудового договора, который подписал А.. Являются ли требования владельцев компании Б. правомерными?","Судя по данному описанию, требования руководства компании Б. могут быть неправомерными. Для того чтобы компания Б. могла утверждать, что интеллектуальные права на произведение А. принадлежат ей, необходимо иметь соответствующие документы, подтверждающие наличие служебного задания, доказательства создания программы в определенный период времени, акты приемки-передачи служебного произведения и другие документы, свидетельствующие о создании программы в рамках исполнения трудовых обязанностей. Простое упоминание пункта 2 трудового договора, который подписал А., не является достаточным доказательством того, что все интеллектуальные права на произведения А. принадлежат компании Б. Необходимо провести дополнительную проверку и предоставить соответствующие документы, подтверждающие права компании Б. на произведение А. Следовательно, требования руководства компании Б. могут быть неправомерными, и А. имеет право на свободное использование и распространение своей программы в соответствии с условиями свободной лицензии."
21,"А. является сотрудником компании Б.. В свободное от работы время он создал программу для работы серверов и опубликовал ее в публичных репозиториях под свободной лицензией. В ответ на это руководство компании Б. потребовало убрать программу из свободного доступа и сослалось на то, что интеллектуальные права на все произведения А. принадлежат компании Б. на основании пункта 2 трудового договора, который подписал А.. Являются ли требования владельцев компании Б. правомерными?","Судя по данному описанию, требования руководства компании Б. могут быть неправомерными. Для того чтобы компания Б. могла утверждать, что интеллектуальные права на произведение А. принадлежат ей, необходимо иметь соответствующие документы, подтверждающие наличие служебного задания, доказательства создания программы в определенный период времени, акты приемки-передачи служебного произведения и другие документы, свидетельствующие о создании программы в рамках исполнения трудовых обязанностей. Простое упоминание пункта 2 трудового договора, который подписал А., не является достаточным доказательством того, что все интеллектуальные права на произведения А. принадлежат компании Б. Необходимо провести дополнительную проверку и предоставить соответствующие документы, подтверждающие права компании Б. на произведение А. Следовательно, требования руководства компании Б. могут быть неправомерными, и А. имеет право на свободное использование и распространение своей программы в соответствии с условиями свободной лицензии."
22,"А. является сотрудником компании Б.. В свободное от работы время он создал программу для работы серверов и опубликовал ее в публичных репозиториях под свободной лицензией. В ответ на это руководство компании Б. потребовало убрать программу из свободного доступа и сослалось на то, что интеллектуальные права на все произведения А. принадлежат компании Б. на основании пункта 2 трудового договора, который подписал А.. Являются ли требования владельцев компании Б. правомерными?","Судя по данному описанию, требования руководства компании Б. могут быть неправомерными. Для того чтобы компания Б. могла утверждать, что интеллектуальные права на произведение А. принадлежат ей, необходимо иметь соответствующие документы, подтверждающие наличие служебного задания, доказательства создания программы в определенный период времени, акты приемки-передачи служебного произведения и другие документы, свидетельствующие о создании программы в рамках исполнения трудовых обязанностей. Простое упоминание пункта 2 трудового договора, который подписал А., не является достаточным доказательством того, что все интеллектуальные права на произведения А. принадлежат компании Б. Необходимо провести дополнительную проверку и предоставить соответствующие документы, подтверждающие права компании Б. на произведение А. Следовательно, требования руководства компании Б. могут быть неправомерными, и А. имеет право на свободное использование и распространение своей программы в соответствии с условиями свободной лицензии."
23,"А. приобрел в Китае книги, которые перепродал в России за гораздо большую сумму. Издатель Б. подал в суд исковое заявление, в котором обвинил А. в нарушении интеллектуальных прав, так как Б. официально продает эти же книги в России и А., по мнению Б., нарушает монополию на использование его произведений. Правомерны ли претензии Б.?","Претензия Б МОЖЕТ БЫТЬ закона, если А не подтвердит свое право на исключительное право распространения данной книги через лицензионный договор (гл.4 ст.31 ГК КНР). Оформление лицензионного договора на территории РФ возможно согласно ст.1286 ГК РФ. Но для определения правомерности претензий издательства Б. необходимо знать подробности ситуации, такие как наличие лицензии, условия ее предоставления и т.д."
24,"А. приобрел в Китае книги, которые перепродал в России за гораздо большую сумму. Издатель Б. подал в суд исковое заявление, в котором обвинил А. в нарушении интеллектуальных прав, так как Б. официально продает эти же книги в России и А., по мнению Б., нарушает монополию на использование его произведений. Правомерны ли претензии Б.?","Претензия Б МОЖЕТ БЫТЬ закона, если А не подтвердит свое право на исключительное право распространения данной книги через лицензионный договор (гл.4 ст.31 ГК КНР). Оформление лицензионного договора на территории РФ возможно согласно ст.1286 ГК РФ. Но для определения правомерности претензий издательства Б. необходимо знать подробности ситуации, такие как наличие лицензии, условия ее предоставления и т.д."
25,"А. приобрел в Китае книги, которые перепродал в России за гораздо большую сумму. Издатель Б. подал в суд исковое заявление, в котором обвинил А. в нарушении интеллектуальных прав, так как Б. официально продает эти же книги в России и А., по мнению Б., нарушает монополию на использование его произведений. Правомерны ли претензии Б.?","Претензия Б МОЖЕТ БЫТЬ закона, если А не подтвердит свое право на исключительное право распространения данной книги через лицензионный договор (гл.4 ст.31 ГК КНР). Оформление лицензионного договора на территории РФ возможно согласно ст.1286 ГК РФ. Но для определения правомерности претензий издательства Б. необходимо знать подробности ситуации, такие как наличие лицензии, условия ее предоставления и т.д."
26,Сотрудник библиотеки А. настроил полнотекстовый поиск по базе данных библиотеки и предоставил посетителям библиотеки возможность поиска и скачивания фрагментов нужных книг за пределами библиотеки. Являются ли правомерными действия А.?,Сотрудник библиотеки А совершил неправомерные действия. Согласно п.1 ст. 1275 ГК РФ экземпляры произведений в электронной форме могут предоставляться во временное безвозмездное пользование только в помещении библиотеки или архива при условии исключения возможности дальнейшего создания копий произведений в электронной форме.
27,Сотрудник библиотеки А. настроил полнотекстовый поиск по базе данных библиотеки и предоставил посетителям библиотеки возможность поиска и скачивания фрагментов нужных книг за пределами библиотеки. Являются ли правомерными действия А.?,Сотрудник библиотеки А совершил неправомерные действия. Согласно п.1 ст. 1275 ГК РФ экземпляры произведений в электронной форме могут предоставляться во временное безвозмездное пользование только в помещении библиотеки или архива при условии исключения возможности дальнейшего создания копий произведений в электронной форме.
28,"А. процитировала в научной статье фрагмент из работы Б. несмотря на то, что в работе Б. автор в письменной форме запретил любое копирование текста без его разрешения. Правомерны ли действия А.?","Действия А правомерны, если Б выложил свою статью в открытый доступ, а А указал имя автора Б в своей работе при цитирование согласно п.1 статьи 1274 ГК РФ. P.S Согласно 1225 ГК РФ, научные статьи признаются результатами интеллектуальной деятельности, охрана которых предусмотрена текущим законодательством."
29,"А. процитировала в научной статье фрагмент из работы Б. несмотря на то, что в работе Б. автор в письменной форме запретил любое копирование текста без его разрешения. Правомерны ли действия А.?","Действия А правомерны, если Б выложил свою статью в открытый доступ, а А указал имя автора Б в своей работе при цитирование согласно п.1 статьи 1274 ГК РФ. P.S Согласно 1225 ГК РФ, научные статьи признаются результатами интеллектуальной деятельности, охрана которых предусмотрена текущим законодательством."
30,"Писатель А. использовал в своем произведении сюжет популярной компьютерной игры, переработав имена персонажей и названия топонимов. Вполедствии он получил письмо с претензией от Б., владельца прав на компьютерную игру, где заявлялось, что при формальном несовпадении имен персонажей повторение ключевых элементов сюжета расценивается компанией как нарушение ее интеллектуальных прав. Правомерна ли претензия Б.?","Компьютерная игра, как объект авторского права может интепретироваться как сложный мульдимедийный продукт (1 ст. 1240 ГК РФ), охватывающий различные аспекты создания продукта (сюжет, код ЭВМ, персонажи и т.д). Претензия Б законна согласно п.9 и п.10 ч.2 ст. 1270 ГК РФ ( о незаконной переработанности). Но гражданину Б придется доказать, что переработанная игра — не похожее самостоятельное произведение, а плагиат писателя А. P.S научная статья ("
31,"Писатель А. использовал в своем произведении сюжет популярной компьютерной игры, переработав имена персонажей и названия топонимов. Вполедствии он получил письмо с претензией от Б., владельца прав на компьютерную игру, где заявлялось, что при формальном несовпадении имен персонажей повторение ключевых элементов сюжета расценивается компанией как нарушение ее интеллектуальных прав. Правомерна ли претензия Б.?","Компьютерная игра, как объект авторского права может интепретироваться как сложный мульдимедийный продукт (1 ст. 1240 ГК РФ), охватывающий различные аспекты создания продукта (сюжет, код ЭВМ, персонажи и т.д). Претензия Б законна согласно п.9 и п.10 ч.2 ст. 1270 ГК РФ ( о незаконной переработанности). Но гражданину Б придется доказать, что переработанная игра — не похожее самостоятельное произведение, а плагиат писателя А. P.S научная статья ("
32,"А. подписал договор с Б., по условиям которого А. передает в пользу Б. свое право именоваться автором всех своих произведений и будет получать за это регулярные денежные выплаты от от Б. Правомерно ли такое соглашение?","Да, соглашение между А и Б является правомерным. Но нужно уточнить вид договора ведь, все зависит от него. К примеру, пунктом 5 статьи 1235 ГК РФ установлено, что по лицензионному договору лицензиат обязуется уплатить лицензиару обусловленное договором вознаграждение, если договором не предусмотрено иное. А согласно 1285 ГК РФ договора передачи исключительных авторских прав осуществляется от правообладателя в сторону приобретателя такого права. Права при этом передаются полностью. Это важное отличие договора отчуждения исключительных прав от иных. Новый собственник получает права целиком и имеет возможность использовать их самостоятельно или передавать третьей стороне во временное пользование по своему усмотрению."
33,"А. подписал договор с Б., по условиям которого А. передает в пользу Б. свое право именоваться автором всех своих произведений и будет получать за это регулярные денежные выплаты от от Б. Правомерно ли такое соглашение?","Да, соглашение между А и Б является правомерным. Но нужно уточнить вид договора ведь, все зависит от него. К примеру, пунктом 5 статьи 1235 ГК РФ установлено, что по лицензионному договору лицензиат обязуется уплатить лицензиару обусловленное договором вознаграждение, если договором не предусмотрено иное. А согласно 1285 ГК РФ договора передачи исключительных авторских прав осуществляется от правообладателя в сторону приобретателя такого права. Права при этом передаются полностью. Это важное отличие договора отчуждения исключительных прав от иных. Новый собственник получает права целиком и имеет возможность использовать их самостоятельно или передавать третьей стороне во временное пользование по своему усмотрению."
34,"Разработчик устройств дополненной реальности А. воссоздал трехмерную схему здания для размещения элементов дополненной реальности. Архитектор Б. узнал об этом и потребовал от А. лицензионных отчислений, так как воссозданная схема повторяет проект строительства дома, который в сое время разработал Б.. Являются ли правомерными требования Б.?","Вроде как да, архитектурный проект является частью авторского права. Соответственно воссоздание этого проекта будет нарушением"
35,"Разработчик устройств дополненной реальности А. воссоздал трехмерную схему здания для размещения элементов дополненной реальности. Архитектор Б. узнал об этом и потребовал от А. лицензионных отчислений, так как воссозданная схема повторяет проект строительства дома, который в сое время разработал Б.. Являются ли правомерными требования Б.?","Вроде как да, архитектурный проект является частью авторского права. Соответственно воссоздание этого проекта будет нарушением"
36,"Компания А. требует от компании Б. выплаты лицензионных отчислений за использование способа получения жидкого азота, интеллектуальные права на который зарегистрированы компанией А. в 2021 году. В ответ на это компания Б. ссылается на записи в лабораторном журнале от 2012 года, в котором упомянут этот способ. Компания Б. предпочла не регистрировать интеллектуальные права на этот способ, но сам факт использования этого способа расценивается компанией Б. как доказательство отсутствия новизны в патентном свидетельстве на изобретение компании А.. Следовательно, компания А. не может требовать выплаты лицензионных отчислений от кого бы то ни было, а принадлежащий ей патент на изобретение нужно аннулировать. Правомерны ли возражения комании Б.?","Если компания Б не оспорила патент в течении полугода, то придётся платить"
37,"Компания А. требует от компании Б. выплаты лицензионных отчислений за использование способа получения жидкого азота, интеллектуальные права на который зарегистрированы компанией А. в 2021 году. В ответ на это компания Б. ссылается на записи в лабораторном журнале от 2012 года, в котором упомянут этот способ. Компания Б. предпочла не регистрировать интеллектуальные права на этот способ, но сам факт использования этого способа расценивается компанией Б. как доказательство отсутствия новизны в патентном свидетельстве на изобретение компании А.. Следовательно, компания А. не может требовать выплаты лицензионных отчислений от кого бы то ни было, а принадлежащий ей патент на изобретение нужно аннулировать. Правомерны ли возражения комании Б.?","Если компания Б не оспорила патент в течении полугода, то придётся платить"
38,"Изобретатель А. является резидентом Российской Федерации, но планирует подать первичную заявку на изобретение в Сингапуре с помощью своего представителя Б., который является резидентом Сингапура. Правомерны ли действия изобретателя А.?","Порядок патентования за рубежом изобретений и полезных моделей, созданных в Российской Федерации, регламентируется статьей 1395 Гражданского кодекса Российской Федерации, согласно которой зарубежное патентование может быть осуществлено не ранее чем через 6 месяцев после подачи заявки в патентное ведомство России. Данное требование обусловлено необходимостью проверки содержания патентных заявок на наличие в них сведений, составляющих государственную тайну. Также заявителю необходимо убедиться в том, что его заявка не нарушает требований соблюдения секретности и экспортных ограничений, предусмотренных Законом РФ от 21.07.93 № 5485-1 «О государственной тайне», согласно которым вся ответственность за разглашение сведений, составляющих государственную тайну, лежит на владельце информации. В рассматриваемом случае таким владельцем является заявитель, подающий заявку за рубежом."
39,"Изобретатель А. является резидентом Российской Федерации, но планирует подать первичную заявку на изобретение в Сингапуре с помощью своего представителя Б., который является резидентом Сингапура. Правомерны ли действия изобретателя А.?","Порядок патентования за рубежом изобретений и полезных моделей, созданных в Российской Федерации, регламентируется статьей 1395 Гражданского кодекса Российской Федерации, согласно которой зарубежное патентование может быть осуществлено не ранее чем через 6 месяцев после подачи заявки в патентное ведомство России. Данное требование обусловлено необходимостью проверки содержания патентных заявок на наличие в них сведений, составляющих государственную тайну. Также заявителю необходимо убедиться в том, что его заявка не нарушает требований соблюдения секретности и экспортных ограничений, предусмотренных Законом РФ от 21.07.93 № 5485-1 «О государственной тайне», согласно которым вся ответственность за разглашение сведений, составляющих государственную тайну, лежит на владельце информации. В рассматриваемом случае таким владельцем является заявитель, подающий заявку за рубежом."
